c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	1.0	0.07652452165439179	1.0	3.45
0.9	1.0	0.10560146923783288	1.0	3.45
0.8	0.994524886877828	0.12389713461142032	1.0	3.4
0.7	0.9836046551487728	0.09455688611532767	1.0	2.85
0.6	0.9836046551487728	0.0393662974831806	1.0	2.05
0.5	0.9389915966386555	0.05464384100747734	1.0	1.3
0.4	0.9011764705882354	0.04756657483930211	1.0	1.35
0.3	0.9204152249134948	0.02840089203725566	1.0	1.2
0.2	0.7851775603289444	0.07830297408219483	1.0	1.45
0.1	0.6196966420257943	0.1590848185004029	1.0	1.75
0.0	0.054634051790193656	0.4048274957365866	1.0	3.5
